shape_id,shape_len,period,speed_miles_per_minute,color
[@15.0.66063517@]6,1631,5,326.2,#3180B6
[@15.0.66063553@]12,9284,31.5,290.125,#EDF7B4
[@15.0.66064083@]23,12062,33,365.5151515,#3180B6
[@15.0.66064083@]71,20861,56,372.5178571,#3180B6
[@15.0.66064083@]76,3219,6,536.5,#3180B6
[@15.0.66064923@]3,9166,17,539.1764706,#3180B6
[@15.0.66066034@]15,21789,57,382.2631579,#3180B6
[@15.0.66066034@]53,19760,52,380,#3180B6
[@15.0.67916770@]1,1465,3,488.3333333,#3180B6
[@15.0.67916770@]2,2476,10,247.6,#EDF7B4
[@15.0.67916770@]3,3376,10,337.6,#3180B6
[@15.0.67924657@]4,2476,10,247.6,#EDF7B4
[@15.0.67924657@]7,3376,10,337.6,#3180B6
[@15.0.68508734@]48,21641,66,327.8939394,#3180B6
[@15.0.68508734@]57,8707,23,378.5652174,#3180B6
[@15.0.68508734@]58,2411,7,344.4285714,#3180B6
[@15.0.68508734@]65,22581,66,342.1363636,#3180B6
[@15.0.68508734@]66,17910,49,365.5102041,#3180B6
[@15.0.68508995@]2,20682,54,383,#3180B6
[@15.0.68508995@]404,6509,15,433.9333333,#3180B6
[@15.0.68508995@]405,14332,39,367.4871795,#3180B6
[@15.0.68511845@]30,5578,12.6667,429.0769231,#3180B6
[@15.0.68511981@]39,10993,35,314.0857143,#3180B6
[@15.0.68511981@]91,14840,47,315.7446809,#3180B6
[@15.0.68511981@]92,7457,24,310.7083333,#3180B6
[@15.0.68511981@]93,14537,40,363.425,#3180B6
[@15.0.68511981@]95,6359,27,235.5185185,#EDF7B4
[@15.0.68511981@]99,15108,41,368.4878049,#3180B6
[@15.0.68512008@]101,4507,14,321.9285714,#3180B6
[@15.0.68512037@]696,2101,7,300.1428571,#3180B6
[@15.0.68512361@]3,4009,5,801.8,#82CCBB
[@15.0.68512430@]37,4009,5,801.8,#82CCBB
[@15.0.68512430@]585,7153,19,376.4736842,#3180B6
[@15.0.68512636@]18,4518,11,410.7272727,#3180B6
[@15.0.68512636@]19,17271,46,375.4565217,#3180B6
[@15.0.68512808@]3,4392,11,399.2727273,#3180B6
[@15.0.68512960@]110,8544,24,356,#3180B6
[@15.0.68512960@]111,12214,31,394,#3180B6
[@15.0.68512960@]112,4507,14,321.9285714,#3180B6
[@15.0.68512960@]65,12153,37,328.4594595,#3180B6
[@15.0.68513015@]219,20146,57,353.4385965,#3180B6
[@15.0.68513015@]220,12153,38,319.8157895,#3180B6
[@15.0.68513188@]4,9604,34,282.4705882,#EDF7B4
[@15.0.68513410@]21,6432,18,357.3333333,#3180B6
[@15.0.68513410@]63,4183,12,348.5833333,#3180B6
[@15.0.69155236@]1,9916,30,330.5333333,#3180B6
[@15.0.69155236@]36,5164,12,430.3333333,#3180B6
[@15.0.69155236@]37,7612,30,253.7333333,#EDF7B4
[@15.0.69155236@]530,10858,24,452.4166667,#3180B6
[@15.0.69155236@]540,12711,26.6167,470.7777778,#3180B6
[@15.0.69155236@]57,5178,12,431.5,#3180B6
[@15.0.69172548@]1,22326,56,398.6785714,#3180B6
[@15.0.69172548@]2,21443,58,369.7068966,#3180B6
[@15.0.69172548@]7,4009,10,400.9,#3180B6
[@15.0.70780160@]363,2482,9.5,248.2,#EDF7B4
[@15.0.70780451@]31,15269,30,508.9666667,#3180B6
[@15.0.70780822@]4,11893,29,410.1034483,#3180B6
[@15.0.70781343@]3,12919,30,430.6333333,#3180B6
[@15.0.70781976@]15,18506,43,430.372093,#3180B6
[@15.0.71205318@]1,3892,10,389.2,#3180B6
[@15.0.71205318@]2,9687,15,645.8,#82CCBB
[@15.0.71205318@]30NIT->BB,12634,29,435.6551724,#3180B6
[@15.0.71205318@]30SBB->IT,12770,29,440.3448276,#3180B6
[@15.0.73006437@]18,9560,25,382.4,#3180B6
[@15.0.73006437@]37,14600,37,394.5945946,#3180B6
[@15.0.73006437@]38,20608,54,381.6296296,#3180B6
[@15.0.73007178@]121,1354,5,270.8,#EDF7B4
[@15.0.73007320@]111,14744,49,300.8979592,#3180B6
[@15.0.73007320@]13,6317,10,631.7,#82CCBB
[@15.0.73007320@]506,9600,28,342.8571429,#3180B6
[@15.0.73007815@]73,14328,37,387.2432432,#3180B6
[@15.0.73007921@]22,15282,42,363.8571429,#3180B6
[@15.0.73008535@]13,7883,20,394.15,#3180B6
[@15.0.73008754@]31,10985,26,422.5,#3180B6
[@15.0.73008754@]33,12443,30,414.7666667,#3180B6
[@15.0.73008754@]35,13282,30,442.7333333,#3180B6
[@15.0.73008754@]38,11347,26,436.4230769,#3180B6
[@15.0.73008754@]39,13645,30,454.8333333,#3180B6
[@15.0.73009433@]41,21173,55,384.9636364,#3180B6
[@15.0.73009433@]43,19968,42,475.4285714,#3180B6
[@15.0.73009433@]44,11196,26,430.6153846,#3180B6
[@15.0.73009433@]45,21819,44,495.8863636,#3180B6
[@15.0.73009433@]51,11001,27,407.4444444,#3180B6
[@15.0.73009483@]22,4408,11,400.7272727,#3180B6
[@15.0.74000704@]37,7868,15,524.5333333,#3180B6
[@15.0.74000704@]38,7868,15,524.5333333,#3180B6
[@15.0.74000704@]41,11347,26,436.4230769,#3180B6
[@15.0.74000704@]51,10992,26,422.7692308,#3180B6
[@15.0.79613563@]47,3756,15,250.4,#EDF7B4
[@2.0.80546279@]243,3493,7,499,#3180B6
[@2.0.80546903@]58,26773,72,371.8472222,#3180B6
[@2.0.80546903@]59,24744,63,392.7619048,#3180B6
[@2.0.80547772@]12,3025,5.6667,504.1666667,#3180B6
[@2.0.80548152@]2,20098,50,401.96,#3180B6
[@2.0.81457398@]15,6811,23,296.1304348,#EDF7B4
[@2.0.81457398@]16,6832,18,379.5555556,#3180B6
[@2.0.81838518@]100,10549,25,421.96,#3180B6
[@2.0.81838518@]101,23412,45,520.2666667,#3180B6
[@2.0.81838518@]102,9389,18,521.6111111,#3180B6
[@2.0.81838518@]103,23703,45,526.7333333,#3180B6
[@2.0.81838518@]104,7884,20,394.2,#3180B6
[@2.0.81838518@]12,27211,48,566.8958333,#3180B6
[@2.0.82999720@]3,12811,22,582.3181818,#3180B6
[@2.0.83502711@]3,18411,39,472.0769231,#3180B6
[@2.0.84876422@]22,5637,15,375.8,#3180B6
[@2.0.84876422@]62,9740,21.6667,442.7272727,#3180B6
[@2.0.84876422@]885,16723,38.5,428.7948718,#3180B6
[@2.0.84876422@]LAVENDER 1,15039,29,518.5862069,#3180B6
[@2.0.84876422@]LAVENDER 1415,23412,59,396.8135593,#3180B6
[@2.0.84876422@]LAVENDER 1425,16716,45,371.4666667,#3180B6
[@2.0.84876422@]LAVENDER 1440,11666,22,530.2727273,#3180B6
[@2.0.84876422@]LAVENDER 1505,19957,49,407.2857143,#3180B6
[@2.0.84876422@]LAVENDER 43,14307,35,408.7714286,#3180B6
[@2.0.84876422@]LP1SCHOOLPO,18094,42,430.8095238,#3180B6
[@2.0.84887452@]67,3308,10,330.8,#3180B6
[@2.0.84887452@]7,11357,37,306.9459459,#3180B6
[@2.0.84887452@]GREEN 1,3504,7,500.5714286,#3180B6
[@2.0.84887452@]GREEN 2,8036,19,422.9473684,#3180B6
[@2.0.84887452@]GREEN 3,4848,26,186.4615385,#EDF7B4
[@2.0.84887452@]GREEN 336,10138,42,241.3809524,#EDF7B4
[@2.0.84887452@]S6 ALT,8570,27.25,317.4074074,#3180B6
[@2.0.84887452@]SCWD UMS,8269,25.25,330.76,#3180B6
[@2.0.84907145@]1435,25833,50,516.66,#3180B6
[@2.0.84907145@]21,12120,40,303,#3180B6
[@2.0.84907145@]25,11856,35,338.7428571,#3180B6
[@2.0.84907145@]326,9526,25,381.04,#3180B6
[@2.0.84907145@]331,3252,15,216.8,#EDF7B4
[@2.0.84907145@]336,6915,29,238.4482759,#EDF7B4
[@2.0.84907145@]34,12708,25,508.32,#3180B6
[@2.0.84907145@]36,11189,24,466.2083333,#3180B6
[@2.0.84907145@]7W SHOW 226,4868,14,347.7142857,#3180B6
[@2.0.84907145@]7W SHOW 97,910,2.3333,455,#3180B6
[@2.0.84907145@]7W UHS 216,7496,26,288.3076923,#EDF7B4
[@2.0.84907145@]88,8931,24,372.125,#3180B6
[@2.0.84907145@]BA3-3 58,7071,17,415.9411765,#3180B6
[@2.0.84907145@]GREY 1415,4710,24.25,196.25,#EDF7B4
[@2.0.84907145@]GREY 1425,9918,39,254.3076923,#EDF7B4
[@2.0.84907145@]GREY 1525,3937,10,393.7,#3180B6
[@2.0.84907145@]GREY 1535,6194,33,187.6969697,#EDF7B4
[@2.0.84916234@]65,25786,72,358.1388889,#3180B6
[@2.0.84927215@]2,7171,21.85,325.9545455,#3180B6
[@2.0.84927215@]GOLD 1,9957,24.6,398.28,#3180B6
[@2.0.84927215@]GOLD 1505,7554,7.5,944.25,#82CCBB
[@2.0.84927215@]GOLD 1535,7448,16,465.5,#3180B6
[@2.0.84927215@]GOLD 336,9604,33,291.030303,#EDF7B4
[@2.0.84927215@]ORB2 UMS,9184,20,459.2,#3180B6
[@2.0.84948307@]11,7615,20,380.75,#3180B6
[@2.0.84948307@]133,12192,39.5,304.8,#3180B6
[@2.0.84948307@]2,8399,17,494.0588235,#3180B6
[@2.0.84948307@]22,12071,32,377.21875,#3180B6
[@2.0.84948307@]7,14023,35,400.6571429,#3180B6
[@2.0.84953216@]33,18083,50,361.66,#3180B6
[@2.0.84953216@]43,19285,50,385.7,#3180B6
[@2.0.84953216@]GREEN EX 1425,19358,63,307.2698413,#3180B6
[@2.0.85633009@]76,15430,44,350.6818182,#3180B6
[@2.0.85633009@]78,9682,15,645.4666667,#82CCBB
[@2.0.85633622@]8,6356,25,254.24,#EDF7B4
[@2.0.85634618@]21,13453,35,384.3714286,#3180B6
[@2.0.85634827@]37,13270,39,340.2564103,#3180B6
[@2.0.85635071@]58,7152,17,420.7058824,#3180B6
[@2.0.86175868@]18,4639,13,356.8461538,#3180B6
[@2.0.86175868@]19,1699,3,566.3333333,#3180B6
[@2.0.86175868@]25,11072,34,325.6470588,#3180B6
[@2.0.86175868@]27,917,3,305.6666667,#3180B6
[@2.0.86175868@]34,8737,21,416.047619,#3180B6
[@2.0.86175868@]42,7544,15,502.9333333,#3180B6
[@2.0.86175868@]53,1730,4,432.5,#3180B6
[@2.0.86175868@]56,3844,10,384.4,#3180B6
[@2.0.86175868@]6WIT->CF,13713,39,351.6153846,#3180B6
[@2.0.86175868@]7,11753,30,391.7666667,#3180B6
[@2.0.86175868@]70,2847,5,569.4,#3180B6
[@2.0.86175868@]75,7590,20,379.5,#3180B6
[@2.0.86175868@]ORANGE 12,8813,18,489.6111111,#3180B6
[@2.0.86175868@]ORANGE 13,13452,43,312.8372093,#3180B6
[@2.0.86175868@]ORANGE 14,4405,12,367.0833333,#3180B6
[@2.0.86175868@]ORANGE 16,4408,13,339.0769231,#3180B6
[@2.0.86175868@]ORANGE 17,7590,30,253,#EDF7B4
[@2.0.86175868@]ORANGE 23,3892,10,389.2,#3180B6
[@2.0.86175868@]ORANGE 24,1410,3,470,#3180B6
[@2.0.86175868@]ORANGE 31,16282,55,296.0363636,#EDF7B4
[@2.0.86175868@]ORANGE 32,4975,10,497.5,#3180B6
[@2.0.86175868@]ORANGE 33,11775,28,420.5357143,#3180B6
[@2.0.86175868@]ORANGE 610,1439,3,479.6666667,#3180B6
[@2.0.86175868@]ORANGE 63,9206,27,340.962963,#3180B6
[@2.0.86175868@]ORANGE 64,8737,24,364.0416667,#3180B6
[@2.0.86232218@]426,16158,43,375.7674419,#3180B6
