shape_id,shape_len,period,speed_miles_per_minute,color
70E-WKND,22324,56,398.6428571,#3180B6
70W,20841,54,385.9444444,#3180B6
70W-WKND,14934,42,355.5714286,#3180B6
70WIT->CF,21443,58,369.7068966,#3180B6
7E,19388,44,440.6363636,#3180B6
7E ALT 2,3762,15,250.8,#EDF7B4
7E GREY ALT 1,8898,25,355.92,#3180B6
7E GREY ALT 5,3552,15,236.8,#EDF7B4
7E->740,6731,22,305.9545455,#3180B6
7E->LSG,19388,50,387.76,#3180B6
7E5THBRAD->,10379,23,451.2608696,#3180B6
7E740->,2277,7,325.2857143,#3180B6
7EIT->,12656,29,436.4137931,#3180B6
7W,19029,45,422.8666667,#3180B6
7W GREY ALT 1,11083,32,346.34375,#3180B6
7W->LSE,4710,9,523.3333333,#3180B6
7WLSE->,14318,35,409.0857143,#3180B6
8E,9660,31,311.6129032,#3180B6
8W,10611,25,424.44,#3180B6
8W BRONZE 5,6188,14,442,#3180B6
BLUE 3,7868,20,393.4,#3180B6
BLUE 51,12729,32,397.78125,#3180B6
BRONZE 6,1410,3,470,#3180B6
GN1PO,3258,5,651.6,#82CCBB
GN1SATPO,1488,3,496,#3180B6
GN1SUNPO,1410,3,470,#3180B6
GN2PO,2411,4,602.75,#82CCBB
GN3SUNPO,1439,3,479.6666667,#3180B6
GN4 SU PO,7884,20,394.2,#3180B6
GN7PO-,3258,5,651.6,#82CCBB
GNX2PO,10591,15,706.0666667,#82CCBB
GOLD 11,8789,16,549.3125,#3180B6
GOLD 14,13374,35,382.1142857,#3180B6
GOLD 16,16051,44,364.7954545,#3180B6
GOLD 161,5965,15,397.6666667,#3180B6
GOLD 19,3923,12,326.9166667,#3180B6
GOLD 21,10837,28,387.0357143,#3180B6
GOLD 25,5757,15,383.8,#3180B6
GOLD 26,6030,10,603,#82CCBB
GOLD 27,10071,20,503.55,#3180B6
GOLD 421,12941,34,380.6176471,#3180B6
GOLD 422,5320,15,354.6666667,#3180B6
GOLD 423,12729,35,363.6857143,#3180B6
GOLD 424,22987,51,450.7254902,#3180B6
GOLD 425,11498,31,370.9032258,#3180B6
GOLD 45,7247,10,724.7,#82CCBB
GOLD 46,3457,8,432.125,#3180B6
GOLD 553,11488,22,522.1818182,#3180B6
GOLD 673,1126,4,281.5,#EDF7B4
GOLD 72,3741,5,748.2,#82CCBB
GOLD 89,7408,20,370.4,#3180B6
GOLD 90,5965,15,397.6666667,#3180B6
GOLDHOPPER 1,4943,14,353.0714286,#3180B6
GOLDHOPPER 2,5084,15,338.9333333,#3180B6
GOLDHOPPER 9,6030,15,402,#3180B6
GR2PO,3769,7,538.4285714,#3180B6
GR4PO,1439,3,479.6666667,#3180B6
GREEN 30,7868,20,393.4,#3180B6
GREEN 37,9810,25,392.4,#3180B6
GREEN 525,16164,52,310.8461538,#3180B6
GREEN 893,8707,26,334.8846154,#3180B6
GREEN 894,12278,32,383.6875,#3180B6
GREEN 905,9396,28,335.5714286,#3180B6
GREEN 907,11428,34,336.1176471,#3180B6
GREEN EV 72,3461,6,576.8333333,#3180B6
GREEN EVENING 39,17666,45,392.5777778,#3180B6
GREEN EVENING 52,20691,51,405.7058824,#3180B6
GREEN EX 1,16644,38,438,#3180B6
GREEN EX 27,4548,10,454.8,#3180B6
GREEN EX 49,12427,20,621.35,#82CCBB
GREEN WEEKEND 23,11743,31,378.8064516,#3180B6
GREEN WEEKEND 44,4049,7,578.4285714,#3180B6
GREENHOPPER 89,10785,32,337.03125,#3180B6
GREENHOPPER WEEKEND 07,4321,14,308.6428571,#3180B6
GREENHOPPER WEEKEND 106,9660,25,386.4,#3180B6
GREY 580,11864,33,359.5151515,#3180B6
GREY 582,7164,16,447.75,#3180B6
HOPPER EV 107,15239,37,411.8648649,#3180B6
HOPPER EV 108,8177,21,389.3809524,#3180B6
