shape_id,shape_len,period
SILVER 120,4787,15
SILVER 121,4787,15
SILVER 2,4657,14
SILVER 42,1488,5
SILVER 43,3971,10
SILVER LATE 30,4788,15
SILVER WEEKEND 31,4787,15
SILVER WEEKEND 42,1488,3
TEAL 23,3988,15
TEAL 24,2084,7
TEAL 25,3779,12
TEAL 26,3971,10
TEAL 27,1903,7
TEAL 34,4145,15
TEAL 35,2242,8
TEAL 45,4049,7
TEAL 98,4140,12
TEAL 99,5661,19
TEAL EVENING 12,5683,19
TEAL EVENING 13,6130,17
TEAL EVENING 14,6130,17
TEAL LATE 14,6150,17
TEAL WEEKEND 16,5683,19
TEAL WEEKEND 45,4049,7
YELLOW 10,9602,20
YELLOW 11,15007,35
YELLOW 13,8624,30
YELLOW 14,23631,68
YELLOW 15,971,8
YELLOW 29,8624,23
YELLOW 4,11962,27
YELLOW 50,6030,12
YELLOW 51,11162,20
YELLOW 52,5254,12
YELLOW 6,10633,27
YELLOW 62,16161,36
YELLOW 7,14206,43
YELLOWHOPPER 17,4034,18
YELLOWHOPPER 23,4603,14
YELLOWHOPPER 25,6435,18
YELLOWHOPPER 26,4507,17
[@124.0.92229742@]12E TEAL WEEKEND 13,6130,20
[@124.0.92229742@]12W TEAL WEEKEND 12,5683,19
[@124.0.92229742@]TEAL WEEKEND 16,5683,19
[@124.0.92229742@]TEAL WEEKEND 45,4049,10
[@124.0.92234822@]1,11032,22
[@124.0.92234822@]19,1439,5
[@124.0.92234822@]2,14000,23
[@124.0.92234822@]3,9166,13
[@124.0.92236898@]100N,25842,70
[@124.0.92236898@]100N->IT,16239,45
[@124.0.92236898@]100NGRNWRT->,11610,34
[@124.0.92236898@]100S,24831,69
[@124.0.92236898@]100S->1STGRG,11670,41
[@124.0.92236898@]100SPLAZA->,14162,33
[@124.0.92236898@]483,8624,28
[@124.0.92236898@]485,11670,41
[@124.0.92236898@]Y1SATPO,4779,8
[@124.0.92236898@]Y2SUNPO,3634,5
[@124.0.92241454@]4,2476,10
[@124.0.92241454@]5,1465,3
[@124.0.92241454@]7,3376,10
[@124.0.92244155@]22N ILLINI LIMITED WEEKEND,4226,12
[@124.0.92244155@]5,4094,7
[@124.0.92244155@]ILLINI LIMITED WEEKEND 845,4443,13
[@124.0.92246230@]1,10824,22
[@124.0.92246230@]2,13874,28
[@124.0.92246230@]4,12243,24
[@124.0.92247832@]100N,25849,70
[@124.0.92247832@]100N->IT,16246,45
[@124.0.92247832@]100S,24831,69
[@124.0.92247832@]100S->1STGRG,11670,37
[@124.0.92247832@]100S->PLAZA,10669,36
[@124.0.92247832@]9,20974,65
[@124.0.92254999@]43,19870,42
[@124.0.92254999@]45,21721,44
[@124.0.92254999@]46,12460,27
[@124.0.92254999@]51,11002,27
[@124.0.92260187@]220N ILLINI 10,10343,34
[@124.0.92260187@]220S ILLINI 20,9655,34
[@124.0.92260187@]24,3769,7
[@124.0.92260187@]ILLINI EV 25,3971,10
[@124.0.92263401@]220N ILLINI 10,10343,34
[@124.0.92263401@]220S ILLINI 20,9655,34
[@124.0.92263401@]24,3769,7
[@124.0.92263401@]ILLINI EV 25,3971,10
[@124.0.92275054@]120E TEAL LATE 13,6150,20
[@124.0.92275054@]120W TEAL LATE 12,5670,19
[@124.0.92275054@]TEAL LATE 14,6150,17
[@124.0.92276155@]120E TEAL LATE 13,6150,20
[@124.0.92276155@]120W TEAL LATE 12,5670,19
[@124.0.92276155@]TEAL LATE 14,6150,17
[@124.0.92279199@]TEAL EVENING 12,5683,19
[@124.0.92279199@]TEAL EVENING 13,6130,20
[@124.0.92279199@]TEAL EVENING 14,6130,17
[@124.0.92281033@]130N SILVER WEEKEND 1,5788,18
[@124.0.92281033@]130N SILVER WEEKEND 2,4657,14
[@124.0.92281033@]130S SILVER WEEKEND 3,5896,17
[@124.0.92281033@]SILVER WEEKEND 31,4787,15
[@124.0.92281033@]SILVER WEEKEND 42,1488,3
[@124.0.92281033@]SILVER WEEKEND 43,3971,10
[@124.0.92284627@]130N SILVER EVENING 1,5788,18
[@124.0.92284627@]130N SILVER EVENING 2,4657,14
[@124.0.92284627@]130S SILVER EVENING 3,5896,17
[@124.0.92284627@]SILVER 121,4787,15
[@124.0.92286725@]130N SILVER EVENING 1,5788,18
[@124.0.92286725@]130N SILVER EVENING 2,4657,14
[@124.0.92286725@]130S SILVER EVENING 3,5896,17
[@124.0.92286725@]SILVER 121,4787,15
[@124.0.92311676@]32,15212,37
[@124.0.92311676@]50E GREEN 53,8553,24
[@124.0.92311676@]50W GREEN 59,15523,41
[@124.0.92311676@]71,20861,56
[@124.0.92311676@]GREEN EV 61,5280,18
[@124.0.92311676@]GREEN EVENING 39,17666,45
[@124.0.92319406@]1,15274,47
[@124.0.92319406@]20,7866,20
[@124.0.92319406@]4,22473,54
[@124.0.92319406@]7,21520,59
[@124.0.92319406@]9,6509,15
[@124.0.92327957@]100 LATE 3,4498,14
[@124.0.92327957@]100 LATE 4,7471,18
[@124.0.92327957@]100 LATE 5,11485,29
[@124.0.92327957@]100N-LATE,4606,14
[@124.0.92327957@]100NLTNT->,12077,31
[@124.0.92327957@]100SLTNT->,11573,29
[@124.0.92327957@]32,10435,26.5
[@124.0.92330667@]100 LATE 3,4498,14
[@124.0.92330667@]100 LATE 4,7471,17
[@124.0.92330667@]100 LATE 5,11485,28
[@124.0.92330667@]100NLTNT->,12077,31
[@124.0.92330667@]100SLTNT->,11573,29
[@124.0.92334988@]1,3493,10
[@124.0.92334988@]219,20146,57
[@124.0.92334988@]395,11209,28
[@124.0.92334988@]397,11710,36
[@124.0.92334988@]50E->LS,8544,28
[@124.0.92334988@]50E->PC,17657,48
[@124.0.92334988@]50W-WKND,14225,48
[@124.0.92334988@]50W-WKND->IT,15533,42
[@124.0.92334988@]GN1SUNPO,1410,3
[@124.0.92334988@]GN4SUNPO,7884,20
[@124.0.92334988@]GN5SUNPO,6454,10
[@124.0.92334988@]GREEN WEEKEND 32,9113,20
[@124.0.92344750@]50E->50WLNIGHT,6489,15
[@124.0.92344750@]50E-LATE,6489,15
[@124.0.92344750@]50W-LATE,5055,15
[@124.0.92344750@]50WLTNT->,5055,15
[@124.0.92345918@]50E-LATE,6489,14
[@124.0.92345918@]50W-LATE,5055,14
[@124.0.92348983@]22N 316,4226,12
[@124.0.92348983@]ILLINI 845 315,4443,13
[@124.0.92350475@]2,2476,10
[@124.0.92350475@]3,3376,10
[@14.0.51708617@]32,14436,35
[@14.0.56288268@]341,3844,10
[@14.0.56288340@]23,28969,73
[@14.0.56288404@]14,9364,18
[@14.0.56288404@]21,2699,5
[@14.0.56288404@]24,4255,5
[@14.0.56288404@]31,1410,3
[@14.0.56288404@]32,3082,10
[@14.0.56288404@]33,8777,10
[@14.0.56288404@]40,29742,81
[@14.0.56288404@]42,25780,80
[@14.0.56288404@]45,6507,20
[@14.0.56288404@]5,25217,71
[@14.0.56288498@]24,3769,7
[@14.0.56288722@]18,3343,17
[@14.0.56288722@]34,8777,15
[@14.0.56288722@]35,3938,12
[@14.0.56288722@]36,7395,10
[@14.0.56288722@]64,4551,18
[@14.0.56288947@]26,12826,28
[@14.0.56289002@]26,5977,12
[@14.0.56289035@]63,4548,7
[@14.0.57586460@]38,7884,20
[@14.0.57766396@]100N,25842,70
[@14.0.57766396@]100NGRNWRT->,11610,34
[@14.0.57766396@]100NY1,21972,61
[@14.0.57766396@]100S,24831,69
[@14.0.57766396@]100S->BRWSWDFLD,16207,41
[@14.0.57766396@]Y1SATPO,4779,10
[@14.0.57766396@]Y3SATPO,8983,15
[@15.0.59410957@]1,9175,30
[@15.0.59410957@]2,10165,20
[@15.0.60390798@]11,19569,47
[@15.0.60391334@]37,7868,20
[@15.0.60391486@]2,5076,16
[@15.0.61662606@]1,26127,65
[@15.0.61662606@]11,26076,67
[@15.0.61662606@]114,4739,8
[@15.0.61662606@]133,17541,34
[@15.0.61662606@]136,6029,12
[@15.0.61662606@]137,6029,17
[@15.0.61662606@]138,17793,43.9667
[@15.0.61662606@]140,7827,15
[@15.0.61662606@]364,25672,63
[@15.0.61662606@]366,25621,65
[@15.0.61662606@]574,27932,75
[@15.0.61662606@]590,12654,29
[@15.0.61662606@]591,14567,35
[@15.0.61662606@]593,6348,16
[@15.0.61662606@]690,8261,20
[@15.0.61662606@]694,8131,24
[@15.0.61662606@]706,7884,15
[@15.0.61662606@]714,4824,10
[@15.0.61662606@]754,7868,15
[@15.0.61734120@]1,7534,30
[@15.0.61734120@]2,5774,12
[@15.0.61734120@]215,20774,74
[@15.0.61734120@]225,15892,46
[@15.0.61734120@]240,26607,74
[@15.0.61734120@]316,14013,35
[@15.0.61734120@]335,5774,13
[@15.0.63188916@]15,4712,10
[@15.0.63189004@]23,24839,70
[@15.0.63189004@]25,15237,45
[@15.0.63189099@]29,6489,22
[@15.0.63189138@]10,16207,40
[@15.0.63189138@]25,15808,41
[@15.0.63189138@]8,13267,29
[@15.0.63189138@]9,20974,59
[@15.0.63189208@]3,1486,3
[@15.0.63191692@]369,23608,56
