shape_id,trips_per_hour,color
[@15.0.73007921@]22,1.4286,#EDF7B4
[@15.0.73008535@]13,3.0000,#EDF7B4
[@15.0.73008754@]31,2.3077,#EDF7B4
[@15.0.73008754@]33,2.0000,#EDF7B4
[@15.0.73008754@]35,2.0000,#EDF7B4
[@15.0.73008754@]38,2.3077,#EDF7B4
[@15.0.73008754@]39,2.0000,#EDF7B4
[@15.0.73009433@]41,1.0909,#EDF7B4
[@15.0.73009433@]43,1.4286,#EDF7B4
[@15.0.73009433@]44,2.3077,#EDF7B4
[@15.0.73009433@]45,1.3636,#EDF7B4
[@15.0.73009433@]51,2.2222,#EDF7B4
[@15.0.73009483@]22,3.0000,#EDF7B4
[@15.0.74000704@]37,4.0000,#82CCBB
[@15.0.74000704@]38,4.0000,#82CCBB
[@15.0.74000704@]41,2.3077,#EDF7B4
[@15.0.74000704@]51,2.3077,#EDF7B4
[@15.0.79613563@]47,4.0000,#82CCBB
[@2.0.80546279@]243,8.5714,#3180B6
[@2.0.80546903@]58,3.7500,#EDF7B4
[@2.0.80546903@]59,20.0000,#3180B6
[@2.0.80547772@]12,12.0000,#3180B6
[@2.0.80548152@]2,1.2000,#EDF7B4
[@2.0.81457398@]15,2.6087,#EDF7B4
[@2.0.81457398@]16,3.3333,#EDF7B4
[@2.0.81838518@]100,2.4000,#EDF7B4
[@2.0.81838518@]101,1.3333,#EDF7B4
[@2.0.81838518@]102,3.3333,#EDF7B4
[@2.0.81838518@]103,1.2500,#EDF7B4
[@2.0.81838518@]104,3.0000,#EDF7B4
[@2.0.81838518@]12,1.2500,#EDF7B4
[@2.0.82999720@]3,2.7273,#EDF7B4
[@2.0.83502711@]3,1.5385,#EDF7B4
[@2.0.84876422@]22,4.0000,#82CCBB
[@2.0.84876422@]62,2.8571,#EDF7B4
[@2.0.84876422@]885,1.5789,#EDF7B4
[@2.0.84876422@]LAVENDER 1,2.0690,#EDF7B4
[@2.0.84876422@]LAVENDER 1415,1.0169,#EDF7B4
[@2.0.84876422@]LAVENDER 1425,1.3333,#EDF7B4
[@2.0.84876422@]LAVENDER 1440,2.7273,#EDF7B4
[@2.0.84876422@]LAVENDER 1505,1.2245,#EDF7B4
[@2.0.84876422@]LAVENDER 43,1.7143,#EDF7B4
[@2.0.84876422@]LP1SCHOOLPO,1.4286,#EDF7B4
[@2.0.84887452@]67,6.0000,#82CCBB
[@2.0.84887452@]7,1.4286,#EDF7B4
[@2.0.84887452@]GREEN 1,8.5714,#3180B6
[@2.0.84887452@]GREEN 2,3.1579,#EDF7B4
[@2.0.84887452@]GREEN 3,2.3077,#EDF7B4
[@2.0.84887452@]GREEN 336,1.4286,#EDF7B4
[@2.0.84887452@]S6 ALT,1.8182,#EDF7B4
[@2.0.84887452@]SCWD UMS,2.4000,#EDF7B4
[@2.0.84907145@]1435,1.2000,#EDF7B4
[@2.0.84907145@]21,1.5000,#EDF7B4
[@2.0.84907145@]25,1.7143,#EDF7B4
[@2.0.84907145@]326,2.4000,#EDF7B4
[@2.0.84907145@]331,4.0000,#82CCBB
[@2.0.84907145@]336,2.0690,#EDF7B4
[@2.0.84907145@]34,2.4000,#EDF7B4
[@2.0.84907145@]36,2.5000,#EDF7B4
[@2.0.84907145@]7W SHOW 226,4.2857,#82CCBB
[@2.0.84907145@]7W SHOW 97,30.0000,#3180B6
[@2.0.84907145@]7W UHS 216,1.8750,#EDF7B4
[@2.0.84907145@]88,2.5000,#EDF7B4
[@2.0.84907145@]BA3-3 58,3.5294,#EDF7B4
[@2.0.84907145@]GREY 1415,2.5000,#EDF7B4
[@2.0.84907145@]GREY 1425,1.5385,#EDF7B4
[@2.0.84907145@]GREY 1525,6.0000,#82CCBB
[@2.0.84907145@]GREY 1535,1.8182,#EDF7B4
[@2.0.84916234@]65,5.0000,#82CCBB
[@2.0.84927215@]2,2.1429,#EDF7B4
[@2.0.84927215@]GOLD 1,2.0000,#EDF7B4
[@2.0.84927215@]GOLD 1505,8.5714,#3180B6
[@2.0.84927215@]GOLD 1535,3.7500,#EDF7B4
[@2.0.84927215@]GOLD 336,1.8182,#EDF7B4
[@2.0.84927215@]ORB2 UMS,3.0000,#EDF7B4
[@2.0.84948307@]11,3.0000,#EDF7B4
[@2.0.84948307@]133,1.5385,#EDF7B4
[@2.0.84948307@]2,3.5294,#EDF7B4
[@2.0.84948307@]22,1.8750,#EDF7B4
[@2.0.84948307@]7,1.7143,#EDF7B4
[@2.0.84953216@]33,1.2000,#EDF7B4
[@2.0.84953216@]43,1.2000,#EDF7B4
[@2.0.84953216@]GREEN EX 1425,20.0000,#3180B6
[@2.0.85633009@]76,1.3636,#EDF7B4
[@2.0.85633009@]78,4.0000,#82CCBB
[@2.0.85633622@]8,2.4000,#EDF7B4
[@2.0.85634618@]21,1.7143,#EDF7B4
[@2.0.85634827@]37,1.5385,#EDF7B4
[@2.0.85635071@]58,3.5294,#EDF7B4
[@2.0.86175868@]18,3.7500,#EDF7B4
[@2.0.86175868@]19,20.0000,#3180B6
[@2.0.86175868@]25,1.7647,#EDF7B4
[@2.0.86175868@]27,20.0000,#3180B6
[@2.0.86175868@]34,2.8571,#EDF7B4
[@2.0.86175868@]42,4.0000,#82CCBB
[@2.0.86175868@]53,15.0000,#3180B6
[@2.0.86175868@]56,6.0000,#82CCBB
[@2.0.86175868@]6WIT->CF,1.2766,#EDF7B4
[@2.0.86175868@]7,2.0000,#EDF7B4
[@2.0.86175868@]70,12.0000,#3180B6
[@2.0.86175868@]75,3.0000,#EDF7B4
[@2.0.86175868@]ORANGE 12,3.3333,#EDF7B4
[@2.0.86175868@]ORANGE 13,1.3953,#EDF7B4
[@2.0.86175868@]ORANGE 14,5.0000,#82CCBB
[@2.0.86175868@]ORANGE 16,4.6154,#82CCBB
[@2.0.86175868@]ORANGE 17,2.0000,#EDF7B4
[@2.0.86175868@]ORANGE 23,6.0000,#82CCBB
[@2.0.86175868@]ORANGE 24,20.0000,#3180B6
[@2.0.86175868@]ORANGE 31,1.0909,#EDF7B4
[@2.0.86175868@]ORANGE 32,4.0000,#82CCBB
[@2.0.86175868@]ORANGE 33,2.1429,#EDF7B4
[@2.0.86175868@]ORANGE 610,20.0000,#3180B6
[@2.0.86175868@]ORANGE 63,2.2222,#EDF7B4
[@2.0.86175868@]ORANGE 64,2.5000,#EDF7B4
[@2.0.86232218@]426,1.3953,#EDF7B4
