shape_id,trips_per_hour,color
GN2PO,15.0000,#3180B6
GN3SUNPO,20.0000,#3180B6
GN4 SU PO,3.0000,#EDF7B4
GN7PO-,12.0000,#3180B6
GNX2PO,4.0000,#82CCBB
GOLD 11,3.7500,#EDF7B4
GOLD 14,1.7143,#EDF7B4
GOLD 16,1.3636,#EDF7B4
GOLD 161,4.0000,#82CCBB
GOLD 19,5.0000,#82CCBB
GOLD 21,2.1429,#EDF7B4
GOLD 25,4.0000,#82CCBB
GOLD 26,6.0000,#82CCBB
GOLD 27,3.0000,#EDF7B4
GOLD 421,1.7647,#EDF7B4
GOLD 422,4.0000,#82CCBB
GOLD 423,1.7143,#EDF7B4
GOLD 424,1.1765,#EDF7B4
GOLD 425,1.9355,#EDF7B4
GOLD 45,6.0000,#82CCBB
GOLD 46,7.5000,#82CCBB
GOLD 553,2.7273,#EDF7B4
GOLD 673,15.0000,#3180B6
GOLD 72,12.0000,#3180B6
GOLD 89,3.0000,#EDF7B4
GOLD 90,4.0000,#82CCBB
GOLDHOPPER 1,4.2857,#82CCBB
GOLDHOPPER 2,3.3333,#EDF7B4
GOLDHOPPER 9,4.0000,#82CCBB
GR2PO,8.5714,#3180B6
GR4PO,20.0000,#3180B6
GREEN 30,3.0000,#EDF7B4
GREEN 37,2.4000,#EDF7B4
GREEN 525,1.1538,#EDF7B4
GREEN 893,2.3077,#EDF7B4
GREEN 894,1.8750,#EDF7B4
GREEN 905,2.1429,#EDF7B4
GREEN 907,1.7647,#EDF7B4
GREEN EV 72,10.0000,#3180B6
GREEN EVENING 39,1.3333,#EDF7B4
GREEN EVENING 52,1.0526,#EDF7B4
GREEN EX 1,1.2000,#EDF7B4
GREEN EX 27,6.0000,#82CCBB
GREEN EX 49,3.0000,#EDF7B4
GREEN WEEKEND 23,1.9355,#EDF7B4
GREEN WEEKEND 44,8.5714,#3180B6
GREENHOPPER 89,1.8750,#EDF7B4
GREENHOPPER WEEKEND 07,4.2857,#82CCBB
GREENHOPPER WEEKEND 106,2.4000,#EDF7B4
GREY 580,1.8182,#EDF7B4
GREY 582,3.7500,#EDF7B4
HOPPER EV 107,1.6216,#EDF7B4
HOPPER EV 108,2.8571,#EDF7B4
HOPPER EV 62,1.3953,#EDF7B4
HOPPER EV 63,2.4000,#EDF7B4
ILLINI 34,2.6087,#EDF7B4
ILLINI 46,6.0000,#82CCBB
ILLINI 47,6.0000,#82CCBB
ILLINI 845,4.6154,#82CCBB
ILLINI 845 315,4.6154,#82CCBB
