shape_id,shape_len
"YELLOW 14",23631
"YELLOW 15",971
"YELLOW 29",8624
"YELLOW 4",11962
"YELLOW 50",6030
"YELLOW 51",11162
"YELLOW 52",5254
"YELLOW 6",10633
"YELLOW 62",16161
"YELLOW 7",14206
"YELLOWHOPPER 17",4034
"YELLOWHOPPER 23",4603
"YELLOWHOPPER 25",6435
"YELLOWHOPPER 26",4507
"[@124.0.92229742@]12E TEAL WEEKEND 13",6130
"[@124.0.92229742@]12W TEAL WEEKEND 12",5683
"[@124.0.92229742@]TEAL WEEKEND 16",5683
"[@124.0.92229742@]TEAL WEEKEND 45",4049
[@124.0.92234822@]1,11032
[@124.0.92234822@]19,1439
[@124.0.92234822@]2,14000
[@124.0.92234822@]3,9166
[@124.0.92236898@]100N,25842
[@124.0.92236898@]100N->IT,16239
[@124.0.92236898@]100NGRNWRT->,11610
[@124.0.92236898@]100S,24831
[@124.0.92236898@]100S->1STGRG,11670
[@124.0.92236898@]100SPLAZA->,14162
[@124.0.92236898@]483,8624
[@124.0.92236898@]485,11670
[@124.0.92236898@]Y1SATPO,4779
[@124.0.92236898@]Y2SUNPO,3634
[@124.0.92241454@]4,2476
[@124.0.92241454@]5,1465
[@124.0.92241454@]7,3376
"[@124.0.92244155@]22N ILLINI LIMITED WEEKEND",4226
[@124.0.92244155@]5,4094
"[@124.0.92244155@]ILLINI LIMITED WEEKEND 845",4443
[@124.0.92246230@]1,10824
[@124.0.92246230@]2,13874
[@124.0.92246230@]4,12243
[@124.0.92247832@]100N,25849
[@124.0.92247832@]100N->IT,16246
[@124.0.92247832@]100S,24831
[@124.0.92247832@]100S->1STGRG,11670
[@124.0.92247832@]100S->PLAZA,10669
[@124.0.92247832@]9,20974
[@124.0.92254999@]43,19870
[@124.0.92254999@]45,21721
[@124.0.92254999@]46,12460
[@124.0.92254999@]51,11002
"[@124.0.92260187@]220N ILLINI 10",10343
"[@124.0.92260187@]220S ILLINI 20",9655
[@124.0.92260187@]24,3769
"[@124.0.92260187@]ILLINI EV 25",3971
"[@124.0.92263401@]220N ILLINI 10",10343
"[@124.0.92263401@]220S ILLINI 20",9655
[@124.0.92263401@]24,3769
"[@124.0.92263401@]ILLINI EV 25",3971
"[@124.0.92275054@]120E TEAL LATE 13",6150
"[@124.0.92275054@]120W TEAL LATE 12",5670
"[@124.0.92275054@]TEAL LATE 14",6150
"[@124.0.92276155@]120E TEAL LATE 13",6150
"[@124.0.92276155@]120W TEAL LATE 12",5670
"[@124.0.92276155@]TEAL LATE 14",6150
"[@124.0.92279199@]TEAL EVENING 12",5683
"[@124.0.92279199@]TEAL EVENING 13",6130
"[@124.0.92279199@]TEAL EVENING 14",6130
"[@124.0.92281033@]130N SILVER WEEKEND 1",5788
"[@124.0.92281033@]130N SILVER WEEKEND 2",4657
"[@124.0.92281033@]130S SILVER WEEKEND 3",5896
